SVID,Type,Name,Unit,Pointer,Comment,Line,SourceRef
1154,ASCII_TYPE,Fix1 Yield,,&RunInfo.sT6AutoYield[eFix1 ],Fix 1 Yield,202,SECSGEM/uHGemHT9045_SV.cpp#L202
1155,ASCII_TYPE,Fix2 Yield,,&RunInfo.sT6AutoYield[eFix2 ],Fix 2 Yield,203,SECSGEM/uHGemHT9045_SV.cpp#L203
1156,ASCII_TYPE,Fix3 Yield,,&RunInfo.sT6AutoYield[eFix3 ],Fix 3 Yield,204,SECSGEM/uHGemHT9045_SV.cpp#L204
1157,ASCII_TYPE,Fix4 Yield,,&RunInfo.sT6AutoYield[eFix4 ],Fix 4 Yield,205,SECSGEM/uHGemHT9045_SV.cpp#L205
1158,ASCII_TYPE,Fix5 Yield,,&RunInfo.sT6AutoYield[eFix5 ],Fix 5 Yield,206,SECSGEM/uHGemHT9045_SV.cpp#L206
1159,ASCII_TYPE,Fix6 Yield,,&RunInfo.sT6AutoYield[eFix6 ],Fix 6 Yield,207,SECSGEM/uHGemHT9045_SV.cpp#L207
1160,INT_4_TYPE,PassTotalCount,,&iSECSGEMPass,Pass Total Count,208,SECSGEM/uHGemHT9045_SV.cpp#L208
1161,INT_4_TYPE,FailTotalCount,,&iSECSGEMFail,Fail Total,209,SECSGEM/uHGemHT9045_SV.cpp#L209
1164,INT_4_TYPE,Bin 0 Count,,&LastSet.iBinData32[0][0],Bin 0 Count,210,SECSGEM/uHGemHT9045_SV.cpp#L210
1165,INT_4_TYPE,Bin 1 Count,,&LastSet.iBinData32[0][1],Bin 1 Count,211,SECSGEM/uHGemHT9045_SV.cpp#L211
1166,INT_4_TYPE,Bin 2 Count,,&LastSet.iBinData32[0][2],Bin 2 Count,212,SECSGEM/uHGemHT9045_SV.cpp#L212
1167,INT_4_TYPE,Bin 3 Count,,&LastSet.iBinData32[0][3],Bin 3 Count,213,SECSGEM/uHGemHT9045_SV.cpp#L213
