"File","Line","Status","Old","New"
"Magazine.cpp","608","OK","iOutArmBlockIndex/AutoForm[iWhichAuto]->BlockXItem","ChangeToFloatNonPcnt((double)(iOutArmBlockIndex), (double)(AutoForm[iWhichAuto]->BlockXItem))"
"Magazine.cpp","592","OK","iOutArmBlockIndex/AutoForm[iWhichAuto]->BlockXItem","ChangeToFloatNonPcnt((double)(iOutArmBlockIndex), (double)(AutoForm[iWhichAuto]->BlockXItem))"
"Magazine.cpp","586","OK","MOT[Motor].Tray.YItem / AutoForm[iWhichAuto]->BlockYItem","ChangeToFloatNonPcnt((double)(MOT[Motor].Tray.YItem), (double)(AutoForm[iWhichAuto]->BlockYItem))"
"Magazine.cpp","585","OK","MOT[Motor].Tray.XItem / AutoForm[iWhichAuto]->BlockXItem","ChangeToFloatNonPcnt((double)(MOT[Motor].Tray.XItem), (double)(AutoForm[iWhichAuto]->BlockXItem))"
"Magazine.cpp","567","OK","iPickWhichMag/iFixCnt","ChangeToFloatNonPcnt((double)(iPickWhichMag), (double)(iFixCnt))"
"main.cpp","32497","OK","(sgTemp[i]->Width-10)/sgTemp[i]->ColCount","ChangeToFloatNonPcnt((double)((sgTemp[i]->Width-10)), (double)(sgTemp[i]->ColCount))"
"main.cpp","32496","OK","(sgTemp[i]->Width-10)/sgTemp[i]->ColCount","ChangeToFloatNonPcnt((double)((sgTemp[i]->Width-10)), (double)(sgTemp[i]->ColCount))"
"main.cpp","29551","OK","(i-1)/TestSocket.iShtCol","ChangeToFloatNonPcnt((double)((i-1)), (double)(TestSocket.iShtCol))"
"main.cpp","24080","OK","2000/Timer3->Interval","ChangeToFloatNonPcnt((double)(2000), (double)(Timer3->Interval))"
"main.cpp","21060","OK","(LastSet.SystemAccSecond[0][stPauseTime]+LastSet.SystemAccSecond[0][stProductTime]+LastSet.SystemAccSecond[0][stJamTime])/LastSet.iJamCount[1]","ChangeToFloatNonPcnt((double)((LastSet.SystemAccSecond[0][stPauseTime]+LastSet.SystemAccSecond[0][stProductTime]+LastSet.SystemAccSecond[0][stJamTime])), (double)(LastSet.iJamCount[1]))"
"main.cpp","7392","OK","(sgTemp[i]->Width-10)/sgTemp[i]->ColCount","ChangeToFloatNonPcnt((double)((sgTemp[i]->Width-10)), (double)(sgTemp[i]->ColCount))"
"main.cpp","7391","OK","(sgTemp[i]->Width-10)/sgTemp[i]->ColCount","ChangeToFloatNonPcnt((double)((sgTemp[i]->Width-10)), (double)(sgTemp[i]->ColCount))"
"main.cpp","7300","OK","(sgTemp->Width-10)/sgTemp->ColCount","ChangeToFloatNonPcnt((double)((sgTemp->Width-10)), (double)(sgTemp->ColCount))"
"main.cpp","7299","OK","(sgTemp->Width-10)/sgTemp->ColCount","ChangeToFloatNonPcnt((double)((sgTemp->Width-10)), (double)(sgTemp->ColCount))"
"main.cpp","3047","OK","250/Timer1->Interval","ChangeToFloatNonPcnt((double)(250), (double)(Timer1->Interval))"
"main.cpp","2816","OK","250/Timer1->Interval","ChangeToFloatNonPcnt((double)(250), (double)(Timer1->Interval))"
"mykitsuck.cpp","1835","OK","iSum/ct","ChangeToFloatNonPcnt((double)(iSum), (double)(ct))"
"mykitsuck.cpp","1814","OK","iSum/ct","ChangeToFloatNonPcnt((double)(iSum), (double)(ct))"
"mymessbox.cpp","627","OK","1000/Timer1->Interval","ChangeToFloatNonPcnt((double)(1000), (double)(Timer1->Interval))"
"myTimer.cpp","147","OK","(rEndDelay.QuadPart-rStartDelay.QuadPart)*1000000/rFreq.QuadPart","ChangeToFloatNonPcnt((double)((rEndDelay.QuadPart-rStartDelay.QuadPart)*1000000), (double)(rFreq.QuadPart))"
"myTimer.cpp","130","OK","(rEndDelay.QuadPart-rStartDelay.QuadPart)*1000/rFreq.QuadPart","ChangeToFloatNonPcnt((double)((rEndDelay.QuadPart-rStartDelay.QuadPart)*1000), (double)(rFreq.QuadPart))"
"myTimer.cpp","113","OK","(rEndDelay.QuadPart-rStartDelay.QuadPart)/rFreq.QuadPart","ChangeToFloatNonPcnt((double)((rEndDelay.QuadPart-rStartDelay.QuadPart)), (double)(rFreq.QuadPart))"
"note.cpp","3439","OK","1000/Timer1->Interval","ChangeToFloatNonPcnt((double)(1000), (double)(Timer1->Interval))"
"tools.cpp","223","OK","iWaitTime/Timer1->Interval","ChangeToFloatNonPcnt((double)(iWaitTime), (double)(Timer1->Interval))"
"uLotInfo.cpp","11195","OK","daverage[1]/iListTemperatureData","ChangeToFloatNonPcnt((double)(daverage[1]), (double)(iListTemperatureData))"
"uMotorTest.cpp","597","OK","Average/dwLoopCount","ChangeToFloatNonPcnt((double)(Average), (double)(dwLoopCount))"
"uMotorTest.cpp","556","OK","Average/dwLoopCount","ChangeToFloatNonPcnt((double)(Average), (double)(dwLoopCount))"
"uMotorTest.cpp","524","OK","Average/dwLoopCount","ChangeToFloatNonPcnt((double)(Average), (double)(dwLoopCount))"
"uYieldMonitoring.cpp","5428","OK","iYieldTotalBinpass*100/Prod.iIntervalLowYieldCountByTotal","ChangeToFloatNonPcnt((double)(iYieldTotalBinpass*100), (double)(Prod.iIntervalLowYieldCountByTotal))"
"uYieldMonitoring.cpp","5298","OK","iYieldSiteBinpass[l][i][j]*100/Prod.iIntervalLowYieldCountBySite","ChangeToFloatNonPcnt((double)(iYieldSiteBinpass[l][i][j]*100), (double)(Prod.iIntervalLowYieldCountBySite))"
"ATCSystem.cpp","2033","OK","iAvg/Temperature.iTjAvgTimes","ChangeToFloatNonPcnt((double)(iAvg), (double)(Temperature.iTjAvgTimes))"
"AutoAlignment.cpp","5814","OK","(2*iDis)/Round(sqrt(dLength), 2)","ChangeToFloatNonPcnt((double)((2*iDis)), (double)(Round(sqrt(dLength), 2)))"
"AutoAlignment.cpp","5809","OK","(2*iDis)/Round(sqrt(dLength), 2)","ChangeToFloatNonPcnt((double)((2*iDis)), (double)(Round(sqrt(dLength), 2)))"
"AutoAlignment.cpp","5776","OK","(2*iDis)/sqrt(dLength)","ChangeToFloatNonPcnt((double)((2*iDis)), (double)(sqrt(dLength)))"
"AutoAlignment.cpp","5771","OK","(2*iDis)/sqrt(dLength)","ChangeToFloatNonPcnt((double)((2*iDis)), (double)(sqrt(dLength)))"
"AutoAlignment.cpp","5274","OK","sqrt(fabs(dRealLength))/sqrt(fabs(dCalLength))","ChangeToFloatNonPcnt((double)(sqrt(fabs(dRealLength))), (double)(sqrt(fabs(dCalLength))))"
"AutoAlignment.cpp","5266","OK","sqrt(fabs(dRealLength))/sqrt(fabs(dCalLength))","ChangeToFloatNonPcnt((double)(sqrt(fabs(dRealLength))), (double)(sqrt(fabs(dCalLength))))"
